title,author,pubDate,link,category,description,source_url
Extreme Heat Wave Pushes South Sudan to Close Schools,,20240320,https://www.nytimes.com/2024/03/20/world/africa/extreme-heat-south-sudan-schools-climate.html,"['South Sudan', 'Juba (South Sudan)', 'Weather', 'Heat and Heat Waves', 'Global Warming']","Climate change already worsened floods and droughts in the young nation. Now, soaring temperatures are forecast for two weeks.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Why Britain’s Lords Are Clashing With Sunak Over Rwanda,,20240320,https://www.nytimes.com/2024/03/20/world/europe/uk-house-of-lords-sunak-rwanda.html,"['Politics and Government', 'Law and Legislation', 'Asylum, Right of', 'Illegal Immigration', 'Human Rights and Human Rights Violations', 'Refugees and Displaced Persons', 'Legislatures and Parliaments', 'Conservative Party (Great Britain)', 'House of Commons (Great Britain)', 'House of Lords (Great Britain)', 'Labour Party (Great Britain)', 'Supreme Court of the United Kingdom', 'Sunak, Rishi (1980- )', 'Welby, Justin', 'Great Britain', 'Rwanda', 'Europe']","The government’s contentious Rwanda policy, which has been championed by the prime minister, has prompted a rebellion in Britain’s unelected second chamber.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"Paulin Hountondji, Revolutionary African Philosopher, Dies at 81",,20240319,https://www.nytimes.com/2024/03/19/world/africa/paulin-hountondji-dead.html,"['Hountondji, Paulin (1942-2024)', 'Deaths (Obituaries)', 'Philosophy', 'Colonization', 'Africa', 'Benin', 'Congo, Democratic Republic of (Congo-Kinshasa)']",He rebelled against efforts to force African ways of thinking into the European worldview. His thoughts had the effect of a bomb in African intellectual life.,https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Senegal’s 2024 Election: What to Know,,20240319,https://www.nytimes.com/2024/03/19/world/africa/senegal-election-2024.html,"['Elections', 'Senegal', 'Sonko, Ousmane', 'Wade, Abdoulaye', 'Youth', 'Economic Conditions and Trends', 'Africa', ""Coups D'Etat and Attempted Coups D'Etat"", 'Ba, Amadou (1961- )', 'Faye, Bassirou Diomaye', 'Wade, Karim']","Senegal was seen as an outpost of democracy in a coup-plagued region until its president tried to cancel the election last month. He failed, and it’s going ahead next Sunday.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Gambia Votes to Overturn Landmark Ban on Female Genital Cutting,,20240318,https://www.nytimes.com/2024/03/18/world/africa/gambia-female-genital-cutting.html,"['Female Genital Mutilation', 'Law and Legislation', 'Women and Girls', 'Muslims and Islam', 'Politics and Government', 'Jammeh, Yahya', 'Africa', 'Gambia']","Lawmakers in the West African country voted to advance a bill repealing a 2015 ban. If it passes the final round of voting, Gambia will become the first nation to roll back protections against the practice.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Niger Orders American Troops to Leave Its Territory,,20240318,https://www.nytimes.com/2024/03/17/world/africa/niger-orders-american-troops-out.html,"['Politics and Government', 'Defense and Military Forces', ""Coups D'Etat and Attempted Coups D'Etat"", 'Military Bases and Installations', 'Bazoum, Mohamed (1960- )', 'Biden, Joseph R Jr', 'United States International Relations', 'Niger', 'France']","The West African country’s military junta said the presence of U.S. forces was “illegal.” Increasingly, West Africans are questioning the motives of Western countries operating in Africa.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Test Title,,20021002,,,,https://example.com/feed
"Maryse Condé, ‘Grande Dame’ of Francophone Literature, Dies at 90",,20240403,https://www.nytimes.com/2024/04/02/books/maryse-conde-dead.html,"['Conde, Maryse', 'Deaths (Obituaries)', 'Books and Literature', 'Writing and Writers', 'Black People', 'Race and Ethnicity', 'Guadeloupe', 'France', 'Africa', 'Segu (Book)', 'Heremakhonon (Book)']","She explored the history and culture of Africa, the West Indies and Europe in work that made her a perennial favorite for the Nobel Prize.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Nigerian Fashion Moves Beyond the Catwalk,,20240411,https://www.nytimes.com/2024/04/11/style/nigeria-fashion-industry.html,"['Nigeria', 'Fashion and Apparel', 'Textiles', 'Design', 'Shopping and Retail']","Known for its annual fashion week, the region’s influence on style has been expanding, with the help of these designers.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"Celebrating Eid in NYC: Looks from Hasan Minhaj, Ramy Youssef and More",,20240411,https://www.nytimes.com/2024/04/10/style/eid-ramadan-fashion-washington-square-park.html,"['Muslims and Islam', 'Fashion and Apparel', 'Ramadan', 'Prayers and Prayer Books', 'Minhaj, Hasan (1985- )', 'Youssef, Ramy', 'Washington Square Park (Manhattan, NY)', 'Eid al-Fitr', 'Holidays and Special Occasions']",Hasan Minhaj and Ramy Youssef joined hundreds of Muslims dressed to the nines at a morning prayer gathering in New York for the Eid al-Fitr holiday.,https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Jacob Zuma Will Run Again in South Africa’s Presidential Election,,20240410,https://www.nytimes.com/2024/04/10/world/africa/south-africa-jacob-zuma-election.html,"['South Africa', 'Zuma, Jacob G', 'Spear of the Nation (MK) (South African Political Party)', 'African National Congress', 'Politics and Government', 'Legislatures and Parliaments', 'Elections']","The 81-year-old former leader has been cleared to appear on the ballot as an opposition candidate in May’s parliamentary election. Unless the decision is reversed, he could become a kingmaker — or even president once again.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
‘Hardest Geezer’ Finishes Running the Length of Africa,,20240409,https://www.nytimes.com/2024/04/08/sports/russ-cook-africa.html,"['Ultramarathon Running', 'Africa', 'Cook, Russ (Runner)', 'Philanthropy']",Russ Cook of Britain overcame danger in a year of running from South Africa to Tunisia.,https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Nearly 100 Die After Boat Sinks Off Coast of Mozambique,,20240408,https://www.nytimes.com/2024/04/08/world/africa/mozambique-boat-sinking.html,"['Drownings', 'Deaths (Fatalities)', 'Maritime Accidents and Safety', 'Ferries', 'Mozambique', 'Africa', 'Boats and Boating', 'Cholera']","Some of the victims were en route to a fair and others were fleeing for fear of being affected by a cholera outbreak, a local official said.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Rwanda Marks Anniversary of 1994 Genocide,,20240407,https://www.nytimes.com/2024/04/07/world/africa/rwanda-genocide-thirty-years.html,"['Rwanda', 'Kigali (Rwanda)', 'War Crimes, Genocide and Crimes Against Humanity', 'Kagame, Paul', 'Hutu Tribe', 'Tutsi Tribe', 'United States International Relations', 'Rwandan Patriotic Front (RPF)', 'Clinton, Bill', 'Macron, Emmanuel (1977- )', 'Africa']","The Central African country is marking the anniversary of a monthslong rampage by militiamen that killed some 800,000 people.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"30 Years After Rwandan Genocide, Ruler Holds Tight Grip",,20240407,https://www.nytimes.com/2024/04/06/world/africa/rwanda-genocide-anniversary.html,"['Rwanda', 'Politics and Government', 'Human Rights and Human Rights Violations', 'War Crimes, Genocide and Crimes Against Humanity', 'Tutsi Tribe', 'Hutu Tribe', 'Kagame, Paul', 'Content Type: Personal Profile']","Thirty years after a devastating genocide, Rwanda has made impressive gains. But ethnic divisions persist under an iron-fisted president who has ruled for just as long.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
